"country","year","piracy","log_population","log_plankton","log_fishcaught","log_rain","log_GDP","latitutde","longitude","continent"
2,2004,0,19.4950180053711,8.91986656188965,14.7449970245361,6.53078556060791,10.5996294021606,34.11,-118.41,"america"
2,2005,0,19.5042362213135,8.95560550689697,14.7572078704834,6.54370737075806,10.6532430648804,34.11,-118.41,"america"
2,2006,0,19.5138778686523,8.90004920959473,14.7514543533325,6.52912950515747,10.7020349502563,34.11,-118.41,"america"
2,2007,0,19.5233879089355,8.83230304718018,14.6536827087402,6.48762893676758,10.7404670715332,34.11,-118.41,"america"
2,2008,0,19.5328464508057,8.84767150878906,14.4972505569458,6.5579891204834,10.7498350143433,34.11,-118.41,"america"
2,2009,0,19.5416145324707,8.86931228637695,14.3396883010864,6.57427310943604,10.7181949615479,34.11,-118.41,"america"
20,2004,0,17.2810897827148,9.04838371276855,13.0984029769897,6.03973484039307,10.3437347412109,49.28,-123.13,"america"
20,2005,0,17.2909488677979,9.05288410186768,13.0266389846802,6.1720027923584,10.4664936065674,49.28,-123.13,"america"
20,2006,0,17.2990894317627,9.15111064910889,12.9921045303345,6.10050392150879,10.5761117935181,49.28,-123.13,"america"
20,2007,0,17.3098201751709,9.07384777069092,12.9542140960693,6.10636901855469,10.6732063293457,49.28,-123.13,"america"
20,2008,0,17.3215980529785,9.08691024780273,12.8070878982544,6.12247514724731,10.716362953186,49.28,-123.13,"america"
20,2009,0,17.3338069915771,9.10305023193359,12.8266839981079,6.0825138092041,10.5896015167236,49.28,-123.13,"america"
40,2004,0,16.2379531860352,5.1069803237915,8.01035976409912,6.92119169235229,8.13163280487061,23.1299991607666,-82.3899993896484,"america"
40,2005,0,16.2396125793457,5.26466131210327,7.710205078125,7.25781583786011,8.23990154266357,23.1299991607666,-82.3899993896484,"america"
40,2006,0,16.2404098510742,5.27791786193848,8.02975845336914,7.11599349975586,8.45145797729492,23.1299991607666,-82.3899993896484,"america"
40,2007,0,16.2404613494873,5.37415885925293,7.87435865402222,7.29680395126343,8.55652141571045,23.1299991607666,-82.3899993896484,"america"
40,2008,0,16.239990234375,5.25967407226562,7.95015001296997,7.12134456634521,8.59357738494873,23.1299991607666,-82.3899993896484,"america"
40,2009,0,16.2393245697021,5.03755617141724,8.078688621521,6.86624383926392,8.61466693878174,23.1299991607666,-82.3899993896484,"america"
42,2004,1,16.0355167388916,3.54386401176453,6.42324686050415,7.00929832458496,7.76806211471558,18.4258632659912,-69.6335906982422,"america"
42,2005,1,16.0501766204834,3.49350786209106,6.32614946365356,7.06453132629395,8.19107532501221,18.4258632659912,-69.6335906982422,"america"
42,2006,0,16.0646171569824,3.46825766563416,6.64378976821899,6.96978139877319,8.24460411071777,18.4258632659912,-69.6335906982422,"america"
42,2007,0,16.07883644104,3.8385226726532,6.27098846435547,7.08247184753418,8.36552238464355,18.4258632659912,-69.6335906982422,"america"
42,2008,0,16.0927982330322,3.50156927108765,6.69826793670654,7.01864337921143,8.45021820068359,18.4258632659912,-69.6335906982422,"america"
42,2009,0,16.1064548492432,3.39002156257629,7.3185396194458,6.5880389213562,8.46461296081543,18.4258632659912,-69.6335906982422,"america"
52,2004,0,14.0704469680786,5.53362941741943,7.76217079162598,7.61004734039307,9.22353553771973,10.6599998474121,-61.5099983215332,"america"
52,2005,0,14.0755128860474,5.46664428710938,8.01796627044678,7.59560489654541,9.40511226654053,10.6599998474121,-61.5099983215332,"america"
52,2006,0,14.0805463790894,5.57015800476074,7.72001791000366,7.53928232192993,9.54047775268555,10.6599998474121,-61.5099983215332,"america"
52,2007,0,14.0855684280396,5.59763479232788,7.62608289718628,7.52525758743286,9.70048046112061,10.6599998474121,-61.5099983215332,"america"
52,2008,0,14.0904483795166,5.32475614547729,7.60588979721069,7.50987672805786,9.92422199249268,10.6599998474121,-61.5099983215332,"america"
52,2009,0,14.0950479507446,5.16165542602539,7.68937110900879,7.42378664016724,9.59453201293945,10.6599998474121,-61.5099983215332,"america"
70,2004,0,18.5103530883789,6.95140695571899,11.9391212463379,6.43885517120361,8.88356781005859,19.05,-104.32,"america"
70,2005,0,18.5226211547852,7.06403923034668,12.1500158309937,6.28467082977295,8.98039436340332,19.05,-104.32,"america"
70,2006,0,18.5350513458252,7.03930282592773,12.0798292160034,6.4279260635376,9.08262538909912,19.05,-104.32,"america"
70,2007,0,18.5475769042969,7.07306432723999,11.6604919433594,6.42476463317871,9.15477752685547,19.05,-104.32,"america"
70,2008,0,18.5601654052734,7.06217765808105,11.6731634140015,6.51233959197998,9.19733810424805,19.05,-104.32,"america"
70,2009,0,18.5727386474609,6.77603721618652,11.8596305847168,6.38550806045532,8.96899700164795,19.05,-104.32,"america"
90,2004,0,16.3306064605713,4.1898775100708,6.74051952362061,7.43857145309448,7.56628131866455,15.68,-88.61,"america"
90,2005,0,16.3554515838623,4.17176294326782,8.54694652557373,7.43360233306885,7.66843271255493,15.68,-88.61,"america"
90,2006,0,16.3801040649414,4.06324148178101,8.73311042785645,7.62835645675659,7.74899673461914,15.68,-88.61,"america"
90,2007,0,16.4046211242676,4.09670066833496,8.4383659362793,7.49673175811768,7.84525775909424,15.68,-88.61,"america"
90,2008,0,16.429126739502,3.87056398391724,8.63941097259521,7.7305326461792,7.95807790756226,15.68,-88.61,"america"
90,2009,0,16.4537811279297,3.76911234855652,8.68980121612549,7.41080331802368,7.89685583114624,15.68,-88.61,"america"
91,2004,1,15.7268924713135,4.35443162918091,7.32317066192627,7.42727136611938,7.18201923370361,15.85,-87.94,"america"
